title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source
OutRun,3/12/2015,M2,Sega,Auto Racing,Rated E For Everyone,7.9,Nintendo Switch,84,dataset3
The Fall Part 2: Unbound,2/13/2018,Over The Moon,Over The Moon,Action Adventure,Rated T For Teen,7.9,PC,73,dataset3
The Fall Part 2: Unbound,2/13/2018,Over The Moon,Over The Moon,Action Adventure,Rated T For Teen,7.9,Nintendo Switch,70,dataset3
The Fall Part 2: Unbound,2/13/2018,Over The Moon,Over The Moon,Action Adventure,Rated T For Teen,7.9,PlayStation 4,71,dataset3
The Fall Part 2: Unbound,2/13/2018,Over The Moon,Over The Moon,Action Adventure,Rated T For Teen,7.9,Xbox One,74,dataset3
RollerCoaster Tycoon Adventures,12/13/2018,Nvizzio Creations,AtGames,Tycoon,Rated E For Everyone,4.6,Nintendo Switch,56,dataset3
Eden-Tomorrow,2/12/2019,Soul Pix,Soul Pix,Action Adventure,Rated T For Teen,5.3,PlayStation 4,52,dataset3
Hellboy: The Science of Evil,6/24/2008,Krome Studios,Konami,Linear Action Adventure,Rated T For Teen,,Xbox 360,44,dataset3
Hellboy: The Science of Evil,6/24/2008,Krome Studios,Konami,Linear Action Adventure,Rated T For Teen,,PlayStation 3,47,dataset3
Hellboy: The Science of Evil,6/24/2008,Krome Studios,Konami,Linear Action Adventure,Rated T For Teen,,PSP,42,dataset3
Half-Minute Hero: Super Mega Neo Climax,6/29/2011,Opus,Microsoft Game Studios,Action RPG,Rated E For Everyone,8.0,Xbox 360,76,dataset3
"Shonen Jump's Shaman King: Legacy of the Spirits, Soaring Hawk",2/8/2005,KCEJ,Konami,RPG,Rated E For Everyone,,Game Boy Advance,59,dataset3
Bloodstained: Ritual of the Night,6/18/2019,ArtPlay,505 Games,Metroidvania,Rated T For Teen,8.4,PC,83,dataset3
Bloodstained: Ritual of the Night,6/18/2019,ArtPlay,505 Games,Metroidvania,Rated T For Teen,8.4,Xbox One,84,dataset3
Bloodstained: Ritual of the Night,6/18/2019,ArtPlay,505 Games,Metroidvania,Rated T For Teen,8.4,PlayStation 4,83,dataset3
Bloodstained: Ritual of the Night,6/18/2019,ArtPlay,505 Games,Metroidvania,Rated T For Teen,8.4,Nintendo Switch,74,dataset3
Bloodstained: Ritual of the Night,6/18/2019,ArtPlay,505 Games,Metroidvania,Rated T For Teen,8.4,iOS (iPhone/iPad),tbd,dataset3
Emergency 2012,11/22/2010,ValuSoft,ValuSoft,Action,Rated T For Teen,5.4,PC,61,dataset3
New International Track & Field,7/22/2008,Sumo Digital,Konami,Athletics,Rated E +10 For Everyone +10,,DS,73,dataset3
Q-Ball: Billiards Master,10/26/2000,Ornith,Take-Two Interactive,Billiards,Rated E For Everyone,,PlayStation 2,65,dataset3
Dogs of War: Battle On Primus IV,7/30/2000,Silicon Dreams,TalonSoft,Real-Time Tactics,Rated M For Mature,,PC,61,dataset3
