title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source,summary
Ground Control 2: Operation Exodus,2004-06-23,Massive Entertainment,VU Games,Real-Time Tactics,Rated T For Teen,8.3,PC,80,dataset3,
GoldenEye 007,1997-08-25,Rare Ltd.,Nintendo,FPS,Rated T For Teen,8.9,Nintendo 64,96,dataset3,
GoldenEye 007,1997-08-25,Rare Ltd.,Nintendo,FPS,Rated T For Teen,8.9,Xbox Series X / S,tbd,dataset3,
Star Wars Episode 1: Jedi Power Battles,2000-10-04,LucasArts,LucasArts,3D Beat-'Em-Up,Rated T For Teen,7.5,Dreamcast,76,dataset3,
WWE Day of Reckoning 2,2005-08-29,Yuke's,THQ,Wrestling,Rated T For Teen,7.9,GameCube,76,dataset3,
Solar 2,2011-06-17,Murudai,Murudai,Sandbox,,6.9,PC,72,dataset3,
Solar 2,2011-06-17,Murudai,Murudai,Sandbox,,6.9,iOS,tbd,dataset3,
No Straight Roads,2020-08-25,Metronomik,Sold Out,Open-World Action,,6.9,PlayStation 4,70,dataset3,
No Straight Roads,2020-08-25,Metronomik,Sold Out,Open-World Action,,6.9,PC,73,dataset3,
No Straight Roads,2020-08-25,Metronomik,Sold Out,Open-World Action,,6.9,Nintendo Switch,71,dataset3,
No Straight Roads,2020-08-25,Metronomik,Sold Out,Open-World Action,,6.9,Xbox One,69,dataset3,
Little Inferno,2012-11-18,Tomorrow Corporation,Tomorrow Corporation,Action Puzzle,Rated T For Teen,7.4,PC,68,dataset3,
Little Inferno,2012-11-18,Tomorrow Corporation,Tomorrow Corporation,Action Puzzle,Rated T For Teen,7.4,Wii U,79,dataset3,
Little Inferno,2012-11-18,Tomorrow Corporation,Tomorrow Corporation,Action Puzzle,Rated T For Teen,7.4,iOS,82,dataset3,
Little Inferno,2012-11-18,Tomorrow Corporation,Tomorrow Corporation,Action Puzzle,Rated T For Teen,7.4,Nintendo Switch,71,dataset3,
The Suffering: Ties That Bind,2005-09-26,Surreal Software,Midway,Survival,Rated M For Mature,8.1,Xbox,76,dataset3,
The Suffering: Ties That Bind,2005-09-26,Surreal Software,Midway,Survival,Rated M For Mature,8.1,PlayStation 2,75,dataset3,
The Suffering: Ties That Bind,2005-09-26,Surreal Software,Midway,Survival,Rated M For Mature,8.1,PC,73,dataset3,
Banjo-Kazooie: Grunty's Revenge,2003-09-10,Rare Ltd.,THQ,3D Platformer,Rated E For Everyone,7.5,Game Boy Advance,72,dataset3,
Tunnel Rats: 1968,2009-05-15,Replay Studios,Boll AG,FPS,,2.1,PC,30,dataset3,
Pokemon Ultra Moon,2017-11-17,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,7.6,Nintendo 3DS,84,dataset3,
Painkiller: Overdose,2007-10-26,Mindware Studios,DreamCatcher Interactive,FPS,Rated M For Mature,6.4,PC,65,dataset3,
Trauma,,Krystian Majewski,Headup Games,Adventure,,,iOS,tbd,dataset3,
Trauma,,Krystian Majewski,Headup Games,Adventure,,,PC,62,dataset3,
Separation,2020-03-04,Recluse Industries,Recluse Industries,First-Person Adventure,Rated E For Everyone,5.1,PlayStation 4,59,dataset3,
Disney Dreamlight Valley,2023-12-05,Gameloft,Gameloft,Virtual Life,,5.5,PlayStation 5,tbd,dataset3,
Disney Dreamlight Valley,2023-12-05,Gameloft,Gameloft,Virtual Life,,5.5,PC,tbd,dataset3,
Disney Dreamlight Valley,2023-12-05,Gameloft,Gameloft,Virtual Life,,5.5,Xbox Series X / S,tbd,dataset3,
Disney Dreamlight Valley,2023-12-05,Gameloft,Gameloft,Virtual Life,,5.5,Nintendo Switch,tbd,dataset3,
Disney Dreamlight Valley,2023-12-05,Gameloft,Gameloft,Virtual Life,,5.5,iOS,tbd,dataset3,
RayStorm,,Taito Corporation,Working Designs,Vertical Shoot-'Em-Up,,,PlayStation,79,dataset3,
RayStorm,,Taito Corporation,Working Designs,Vertical Shoot-'Em-Up,,,iOS,77,dataset3,
